Experiment Name,Final Val Loss,State,Created
attentive-stopping-hard-tokenwise,5.658231258392334,running,2025-11-14T09:21:39Z
attentive-stopping-tokenwise-fixed-edge-noise,N/A,finished,2025-11-12T00:35:38Z
attentive-stopping-tokenwise-fixed-edge-noise,4.2276506423950195,finished,2025-11-11T18:38:29Z
attentive-stopping-tokenwise-fixed-edge-noise-prelude-injection-concat,4.192960739135742,finished,2025-11-12T08:14:31Z
baseline,4.036852836608887,finished,2025-10-08T13:21:36Z
moe-hard-routing,4.267273426055908,finished,2025-10-09T00:42:16Z
moe-soft-routing,3.931266069412231,finished,2025-10-09T17:54:30Z
oracle-stopping-tokenwise,4.332417964935303,finished,2025-11-12T02:34:04Z
oracle-stopping-tokenwise-fixed-edge-noise-predlude-injection-concat,4.079188823699951,finished,2025-11-13T04:42:12Z
reccurent-attentive-stopping-fixed-edge-noise,N/A,finished,2025-10-31T10:53:47Z
reccurent-attentive-stopping-fixed-edge-noise,4.236975193023682,finished,2025-10-31T05:11:56Z
recurrent-1-1-1-peak-32,5.368155479431152,killed,2025-11-05T08:02:43Z
recurrent-1-2-1-peak-16,4.5143208503723145,finished,2025-10-28T19:48:08Z
recurrent-1-2-1-peak-32,4.453291416168213,finished,2025-10-30T01:06:32Z
recurrent-2-4-2,4.413331031799316,finished,2025-10-28T21:20:33Z
recurrent-2-4-2-learned-stopping-prelude-injection-add-noise,4.205882549285889,finished,2025-10-30T05:45:53Z
recurrent-attentive-stopping,4.306411266326904,finished,2025-10-30T20:35:43Z
recurrent-attentive-stopping-tokenwise,4.3486528396606445,finished,2025-11-10T15:38:09Z
recurrent-depth-curriculum-ascending,4.362873077392578,finished,2025-11-10T21:27:29Z
recurrent-depth-curriculum-cyclical,7.745219707489014,finished,2025-11-12T16:56:40Z
recurrent-depth-curriculum-descending,11.106139183044434,crashed,2025-11-06T16:42:40Z
recurrent-depth-curriculum-performance,8.690947532653809,finished,2025-11-12T18:09:57Z
recurrent-depth-curriculum-random-walk,8.671158790588379,finished,2025-11-12T17:32:02Z
recurrent-extra-layernorm,4.563094615936279,finished,2025-10-21T23:38:35Z
recurrent-extra-rmsnorm,4.383522033691406,finished,2025-10-24T09:19:41Z
recurrent-fixed-edge-add-noise,4.3379292488098145,finished,2025-10-21T20:02:27Z
recurrent-fixed-edge-add-noise-rmsnorm,4.408748626708984,finished,2025-10-24T07:42:39Z
recurrent-learned-stopping-fixed-edge-noise,4.114993095397949,finished,2025-10-28T23:16:05Z
recurrent-learned-stopping-fixed-edge-noise-hyperparameter,7.083463668823242,crashed,2025-11-07T11:38:36Z
recurrent-learned-stopping-fixed-edge-noise-prelude-injection,4.2107157707214355,finished,2025-10-29T03:09:21Z
recurrent-learned-stopping-tokenwise,6.511899471282959,crashed,2025-11-05T15:25:26Z
recurrent-learned-stopping-tokenwise-fixed-edge,4.08958625793457,finished,2025-11-12T18:37:50Z
recurrent-learned-stopping-tokenwise-fixed-edge-noise-concat,4.127594947814941,finished,2025-11-13T21:29:28Z
recurrent-learned-stopping-tokenwise-fixed-edge-noise-prelude-injection-concat,4.100500583648682,finished,2025-11-12T14:23:57Z
recurrent-moe-fixed-edge-add-noise,4.203456878662109,finished,2025-10-23T21:20:10Z
recurrent-prelude-injection,4.126599311828613,finished,2025-10-29T01:24:04Z
recurrent-prelude-injection-concat,4.190704345703125,finished,2025-11-12T00:35:48Z
recurrent-rms-norm,4.479980945587158,finished,2025-10-31T02:26:57Z
recurrent-sandwich-norm-layernorm,4.418672561645508,crashed,2025-11-05T19:03:16Z
recurrent-sandwich-norm-rmsnorm,7.588391780853272,crashed,2025-11-05T21:32:58Z
recurrent-shared,4.399073600769043,finished,2025-10-09T16:10:49Z
recurrent-shared-layer-dropout,4.393779754638672,finished,2025-10-17T05:58:22Z
recurrent-shared-learned-stopping,4.3677778244018555,finished,2025-10-23T06:43:08Z
recurrent-shared-loss-scaling,4.4980082511901855,finished,2025-10-21T12:19:32Z
recurrent-shared-moe,4.2069292068481445,finished,2025-10-16T23:42:30Z
recurrent-shared-moe-loss-scaling,4.26047420501709,finished,2025-10-22T23:43:06Z
recurrent-shared-sticky-dropout,4.673004150390625,finished,2025-10-17T07:24:20Z
sandwich-norm-layernorm,10.99124526977539,crashed,2025-11-05T18:02:34Z
shared-moe,4.1266374588012695,finished,2025-10-14T22:24:06Z
shared-params,4.317402362823486,finished,2025-10-08T15:46:53Z
